OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,3,אחווה,1157,מועצה אזורית,דרום,באר טוביה,5533,0,0,5,0,1,3,1,5,6,0,0,0,4,4,33.361283800880365,0.089924597,202405,1324.992103445374823,89924.596964126234525
-1,52,אמונים,772,מועצה אזורית,דרום,באר טוביה,5533,1,0,71,0,9,59,2,72,98,3,6,0,49,74,13.143842508176478,3.956225127290745,202405,22205.298626991479978,3956225.127290745265782
-1,72,באר טוביה,155,מועצה אזורית,דרום,באר טוביה,5533,4,2,95,5,15,70,10,101,132,6,5,0,78,110,12.226657192038861,5.888772284126960,202405,14859.388855595161658,5888772.284126959741116
-1,24,ביצרון,234,מועצה אזורית,דרום,באר טוביה,5533,0,0,34,1,5,21,5,34,45,2,2,2,30,43,4.246504740343028,5.651706866589135,202405,13940.481111088769467,5651706.866589134559035
-1,101,בית עזרא,756,מועצה אזורית,דרום,באר טוביה,5533,0,2,131,0,14,99,15,133,216,3,7,0,122,164,22.743723064292563,4.440785693463225,202405,11535.966502060935454,4440785.693463225848973
-1,9,גבעתי,793,מועצה אזורית,דרום,באר טוביה,5533,0,1,8,0,0,8,1,9,16,4,2,0,7,16,2.505975016572963,3.591416490778874,202405,10332.561391484841806,3591416.490778873674572
-1,28,חצב,700,מועצה אזורית,דרום,באר טוביה,5533,0,0,35,3,3,28,1,35,50,1,2,0,33,42,6.301823708913282,4.443158249634448,202405,19486.220539114980056,4443158.249634447507560
-1,7,חצור-אשדוד,406,מועצה אזורית,דרום,באר טוביה,5533,0,0,8,0,0,7,1,8,12,0,0,0,6,9,1.502365611612881,4.659318574581238,202405,19348.794950375631743,4659318.574581237509847
-1,37,ינון,2011,מועצה אזורית,דרום,באר טוביה,5533,0,2,50,3,7,39,3,52,69,0,3,0,41,55,7.975091321714157,4.639445306319987,202405,16827.019669153320137,4639445.306319986470044
-1,13,כפר אחים,690,מועצה אזורית,דרום,באר טוביה,5533,0,0,21,2,2,16,0,21,25,0,1,0,19,23,4.230526517581874,3.072903560815089,202405,13570.261476430898256,3072903.560815088916570
-1,34,כפר ורבורג,320,מועצה אזורית,דרום,באר טוביה,5533,0,4,49,3,9,37,5,53,66,2,5,0,41,55,5.251146058347955,6.474777052896644,202405,14349.842093312219731,6474777.052896643988788
-1,3,נווה מבטח,827,מועצה אזורית,דרום,באר טוביה,5533,0,0,3,0,0,3,0,3,5,0,0,1,2,3,1.358452270296411,2.208395587829822,202405,6263.847120083170012,2208395.587829822674394
-1,26,ניר בנים,553,מועצה אזורית,דרום,באר טוביה,5533,0,1,43,0,7,33,3,44,52,0,2,1,29,37,6.242234966766027,4.165174835363505,202405,10169.877175069390432,4165174.835363505408168
-1,3,עזר,1149,מועצה אזורית,דרום,באר טוביה,5533,0,0,3,0,0,2,0,3,5,0,0,0,3,3,21.774223548272715,0.137777588,202405,1757.754331695702376,137777.587951602588873
-1,32,עזריקם,817,מועצה אזורית,דרום,באר טוביה,5533,0,2,33,1,5,27,3,35,51,4,1,0,26,37,6.551718621592298,4.884214638665736,202405,18965.639703211643791,4884214.638665736652911
-1,119,ערוגות,593,מועצה אזורית,דרום,באר טוביה,5533,1,2,165,3,18,137,11,168,234,2,15,1,136,187,29.017052312909410,4.101036821960652,202405,14516.995181706788571,4101036.821960652247071
-1,386,שדה עוזיהו,739,מועצה אזורית,דרום,באר טוביה,5533,3,11,534,7,51,443,35,548,804,14,38,0,514,649,84.158583735645209,4.586579085176672,202405,10811.231043985610086,4586579.085176672786474
-1,352,שטח כללי,5533,מועצה אזורית,דרום,באר טוביה,5533,7,20,534,20,72,415,49,561,692,12,36,3,394,524,8.002466596471068,43.986437900937332,202405,150322.342955354426522,43986437.900937333703041
-1,29,שתולים,763,מועצה אזורית,דרום,באר טוביה,5533,0,1,35,2,10,26,0,36,51,3,1,1,28,38,7.369479299307418,3.935149122777970,202405,10521.201876740820808,3935149.122777970507741
-1,62,תימורים,163,מועצה אזורית,דרום,באר טוביה,5533,2,0,92,11,11,71,11,94,107,2,9,1,54,75,17.742654854897562,3.494403769167946,202405,16047.342789037862531,3494403.769167945720255
-1,4,תלמי יחיאל,727,מועצה אזורית,דרום,באר טוביה,5533,0,1,3,0,0,4,0,4,8,0,0,0,5,8,1.063444257087266,3.761363111740195,202405,13380.477448456775164,3761363.111740195192397
-1,631,באר יעקב,2530,מועצה מקומית,מרכז,באר יעקב,2530,3,19,759,83,95,587,61,781,1166,62,33,15,691,936,66.688561916568830,9.461892442506359,202405,17969.219226946210256,9461892.442506359890103
-1,6785,באר שבע,9000,עירייה,דרום,באר שבע,9000,34,253,8998,853,1142,6906,1038,9285,12382,347,226,163,6951,9827,57.794626985259853,117.398456464308879,202405,55936.004856860337895,117398456.464308872818947
-1,1,דחי,475,מועצה אזורית,צפון,בוסתאן אל מרג',5566,0,0,1,0,0,0,0,1,2,0,0,0,0,0,3.503404567882096,0.285436632,202405,4297.554900789520616,285436.631888770847581
-1,25,כפר מצר,512,מועצה אזורית,צפון,בוסתאן אל מרג',5566,1,2,33,1,4,30,1,36,38,0,4,0,25,34,6.192574282826873,4.037093276269534,202405,10530.914130857414420,4037093.276269534137100
-1,77,נין,523,מועצה אזורית,צפון,בוסתאן אל מרג',5566,1,3,127,2,22,98,8,131,166,3,8,0,94,122,29.665080304442036,2.595644414570152,202405,8113.710636733783758,2595644.414570151828229
-1,8,סולם,526,מועצה אזורית,צפון,בוסתאן אל מרג',5566,0,0,11,3,6,5,0,11,11,0,1,0,5,8,3.835810171435015,2.085608943731206,202405,8443.998513798664135,2085608.943731206003577
-1,111,בועיינה - נוג'ידאת,482,מועצה מקומית,צפון,בועיינה - נוג'ידאת,0482,2,4,158,13,39,116,6,164,177,3,5,2,98,144,15.503445740226905,7.159698679886851,202405,16845.489014871262043,7159698.679886851459742
-1,68,בוקעאתא,4001,מועצה מקומית,צפון,בוקעאתא,4001,0,4,111,8,25,80,8,115,107,0,3,2,57,79,3.480017720732999,19.540130383496180,202405,25183.469517655346863,19540130.383496180176735
